protein1 protein2 combined_score
ABLIM1 NMT1 270
ABLIM1 ZNF185 205
ABLIM1 CIT 270
ABLIM1 MPP2 278
ABLIM1 LDB3 171
ABLIM1 PDLIM5 270
ABLIM1 ACTA2 156
ABLIM1 YWHAB 256
ABLIM1 SYNPO 227
ABLIM1 PDLIM3 171
ABLIM1 ACTG2 156
ABLIM1 PDLIM1 171
ABLIM1 FHL1 239
ABLIM1 PLEC 237
ABLIM1 TRIO 600
ABLIM1 RNF4 270
ABLIM1 DCC 600
ABLIM1 ECT2 270
ABLIM1 DST 155
ABLIM1 NCK1 600
ABLIM1 FHL2 277
ABR MAPK1 196
ABR KALRN 305
ABR RAC2 173
ABR XPO7 181
ABR RHOF 173
ABR PAK1 200
ABR TIAM1 365
ABR ALB 270
ABR HRAS 338
ABR TBK1 270
ABR RHOBTB3 173
ABR DLG4 341
ABR RHOG 173
ABR PAK3 200
ABR PAK4 200
ABR RHOA 278
ABR RAC1 173
ABR RHOD 173
ABR RHOH 173
ABR CD2AP 158
ACAA1 ACO2 167
ACAA1 ACOT8 327
ACAA1 ECH1 227
ACAA1 EHHADH 451
ACAA1 CAT 335
ACAA1 GRPEL1 179
ACAA1 ACOX1 150
ACAA1 PEX13 600
ACAA1 PPIB 416
ACAA1 ECI1 451
ACAA1 PEX7 973
ACAA1 HMGCS1 425
ACAA1 PEX5 736
ACAA1 PEX14 600
ACAA1 MPC2 152
ACAA1 ECI2 451
ACAA1 ACSL5 222
ACAA1 SCP2 625
ACAA1 HADH 535
ACAA1 SRPRB 635
ACAA1 CPT2 161
ACAA1 ETFA 158
ACAA1 AUH 302
ACAA1 ACSL1 302
ACAA1 MTHFD2 410
ACAA1 HADHA 451
ACAA1 ALDOA 161
ACAA1 HSD17B4 673
ACAA1 HIBCH 302
ACAA2 CDC34 270
ACAA2 ACO2 666
ACAA2 ACOT8 163
ACAA2 DECR1 323
ACAA2 ECH1 336
ACAA2 TAX1BP3 626
ACAA2 EHHADH 451
ACAA2 ACADS 295
ACAA2 LAMTOR5 194
ACAA2 HSD17B14 171
ACAA2 GRPEL1 179
ACAA2 VDAC1 457
ACAA2 ACAT1 473
ACAA2 PGD 628
ACAA2 CPT2 319
ACAA2 ETFA 313
ACAA2 AUH 336
ACAA2 CRAT 343
ACAA2 HSDL2 333
ACAA2 HADHA 508
ACAA2 ATP1B3 272
ACAA2 AK2 299
ACAA2 HMGCS1 425
ACAA2 DHRS1 171
ACAA2 ALDOA 363
ACAA2 HSD17B4 355
ACAA2 HIBCH 353
ACAA2 BNIP3 181
ACAA2 USP8 272
ACAA2 DHRS2 171
ACAA2 CIT 270
ACAA2 CSRP1 272
ACAA2 ACADM 384
ACAA2 EWSR1 272
ACAA2 MSN 297
ACAA2 ALDH9A1 213
ACAA2 VDAC2 271
ACAA2 MPC2 152
ACAA2 PEX7 391
ACAA2 ATL2 169
ACAA2 ACADSB 238
ACAA2 ECI2 359
ACAA2 ECI1 498
ACAA2 TOMM40 271
ACAA2 TKT 288
ACAA2 SCP2 377
ACAA2 SUCLG1 151
ACAA2 HADH 501
ACAA2 EZR 272
ACAA2 MAPT 181
ACAA2 CFL1 398
ACACA SIRT1 216
ACACA PRKAB1 270
ACACA ATXN1 257
ACACA COPB1 676
ACACA FUS 270
ACACA KDM6B 270
ACACA EED 181
ACACA CBL 171
ACACA STAT3 190
ACACA CCT5 169
ACACA CCT3 163
ACACA NPM1 270
ACACA LEP 256
ACACA ENO3 203
ACACA RNF123 270
ACACA NDUFA4 275
ACACA HUWE1 150
ACACA MAPT 270
ACACA MCCC2 190
ACACA NUP50 243
ACACA AKR1B10 426
ACACA PRKAA2 470
ACACA PTEN 270
ACACA PSMB2 705
ACACA ATL2 158
ACACA SHC1 183
ACACA PSMC6 285
ACACA BRCA1 994
ACACA RPS6KA1 177
ACACA PHKG2 177
ACACA APOC1 265
ACADM DECR1 319
ACADM ECH1 338
ACADM EHHADH 215
ACADM UMPS 155
ACADM CAT 232
ACADM ACADS 307
ACADM CANX 286
ACADM GFPT2 272
ACADM KIF23 270
ACADM PSMA6 272
ACADM RAB2A 272
ACADM MGLL 242
ACADM VDAC1 286
ACADM ANLN 270
ACADM UQCRC2 277
ACADM PGD 186
ACADM RPN1 272
ACADM HSP90B1 344
ACADM ECI1 348
ACADM ARF4 285
ACADM YWHAG 153
ACADM PPP2R1B 272
ACADM AURKB 270
ACADM PRMT5 243
ACADM HADHB 328
ACADM CCT6B 294
ACADM IDH2 330
ACADM ANG 270
ACADM ACSL4 176
ACADM ALDH9A1 161
ACADM GFPT1 272
ACADM ACSL3 182
ACADM PSMB10 254
ACADM HIBCH 460
ACADM ACADSB 242
ACADM PSMA1 272
ACADM CPT2 323
ACADM ETFA 856
ACADM PSMB2 272
ACADM PSMC2 272
ACADM ECI2 286
ACADM DNAJA1 284
ACADM LDHB 272
ACADM AUH 192
ACADM NDUFAB1 315
ACADM HDAC1 270
ACADM PSMB9 254
ACADM SCP2 212
ACADM SUCLA2 632
ACADM HADHA 362
ACADM HADH 333
ACADM ARF1 285
ACADM CIT 270
ACADM VDAC2 286
ACADM GALE 287
ACADM NFS1 640
ACADM SUCLG2 641
ACADM ATP1A1 272
ACADS PPP2R5B 203
ACADS CDC34 161
ACADS IDH3G 167
ACADS DECR1 313
ACADS ECH1 325
ACADS EHHADH 309
ACADS UMPS 155
ACADS CAT 232
ACADS ECI2 286
ACADS HIBCH 290
ACADS CPT2 307
ACADS ETFA 434
ACADS ACSL1 182
ACADS ECI1 417
ACADS SCP2 212
ACADS IDH3B 151
ACADS FBP2 177
ACADS EIF5A 167
ACADS PFKFB1 236
ACADS NDUFAB1 315
ACADS AUH 200
ACADS HSP90AA1 177
ACADS SYNE1 252
ACADS PFKFB3 236
ACADS ACSL5 182
ACADS RFC3 270
ACADS MGLL 242
ACADS HADHA 430
ACADS SUCLG1 177
ACADS FBP1 177
ACADS HNF4A 152
ACADS POLL 236
ACADS GRPEL1 194
ACADS CRAT 335
ACADSB PPP2R5B 203
ACADSB CDC34 161
ACADSB IDH3G 167
ACADSB DECR1 244
ACADSB ECH1 248
ACADSB EHHADH 309
ACADSB UMPS 155
ACADSB CAT 232
ACADSB GRPEL1 194
ACADSB MGLL 242
ACADSB ECI1 366
ACADSB HNF4A 152
ACADSB CRAT 236
ACADSB HSP90AA1 177
ACADSB EIF5A 167
ACADSB ACSL5 182
ACADSB HIBCH 290
ACADSB SYNE1 252
ACADSB IDH3B 151
ACADSB FBP2 177
ACADSB SCP2 212
ACADSB AUH 200
ACADSB NDUFAB1 315
ACADSB PFKFB1 236
ACADSB ECI2 286
ACADSB CPT2 242
ACADSB ETFA 418
ACADSB ACSL1 182
