protein1 protein2 combined_score
DOCK4 HSPA2 188
DOCK4 NUDT19 151
DOCK4 WDR43 345
DOCK4 MRPS12 345
DOCK4 RPS14 762
DOCK4 PSMD14 250
DOCK4 SOS1 169
DOCK4 FGD4 161
DOCK4 KLHL24 156
DOCK4 RHOA 255
DOCK4 RPL9 771
DOCK4 RPL6 761
DOCK4 HRAS 221
DOCK4 SSH2 183
DOCK4 NAP1L1 158
DOCK4 WDR74 380
DOCK4 RPS10 615
DOCK4 SPTB 234
DOCK4 SRPRB 384
DOCK4 PDLIM5 198
DOCK4 SPTBN2 234
DOCK4 RPL18 768
DOCK4 RPL36 749
DOCK4 LSM4 212
DOCK4 HELZ2 179
DOCK4 RSL1D1 345
DOCK4 NOP14 345
DOCK4 RPS19 770
DOCK9 RALA 167
DOCK9 RRAS 167
DOCK9 RAC2 428
DOCK9 SMAD2 256
DOCK9 RAB2A 213
DOCK9 RHOF 261
DOCK9 RALB 167
DOCK9 MRAS 167
DOCK9 GEM 167
DOCK9 RHOD 261
DOCK9 RHOT2 167
DOCK9 SMAD3 256
DOCK9 HSP90AA1 175
DOCK9 RHOG 202
DOCK9 RAC1 692
DOCK9 RHOT1 167
DOCK9 RAB4A 167
DOCK9 RIT1 167
DOCK9 EPHB2 394
DOCK9 NEDD9 151
DOCK9 HRAS 282
DOCK9 RHOBTB3 219
DOCK9 RHOH 224
DOCK9 HERC3 209
DOCK9 RHOA 186
DPP4 LGALS3 585
DPP4 ITGAV 237
DPP4 TYR 246
DPP4 GRPEL1 212
DPP4 ITIH4 839
DPP4 IRF8 260
DPP4 TP53 739
DPP4 TPRKB 167
DPP4 F2RL1 189
DPP4 IGF1 258
DPP4 TSPAN5 179
DPP4 PLG 799
DPP4 LEP 308
DPP4 PSEN1 203
DPP4 PPM1G 163
DPP4 FN1 912
DPP4 PIGR 226
DPP4 IGF2R 825
DPP4 TSPAN8 179
DPP4 PRNP 244
DPP4 HRAS 285
DPP4 PSEN2 203
DPP4 TSPAN1 179
DPP4 MBL2 216
DPP4 IGF2 309
DPP4 PTPRC 922
DPP4 SELENBP1 237
DPP4 POLG2 150
DPP4 SRC 429
DPP4 SYK 167
DPP4 IKBKB 270
DPP4 GMPS 237
DPP4 ITGA4 212
DPP4 TMPRSS2 175
DPP4 TSPAN4 179
DPP4 FUCA1 254
DPP4 ITGB1 844
DPYD GSR 181
DPYD GAPDH 272
DPYD GMPR 150
DPYD GNAO1 181
DPYD DPYSL2 252
DPYD GNAI2 181
DPYD UPB1 169
DPYD GNAI1 181
DPYD DPYSL3 252
DPYD GNAI3 181
DPYD TKTL1 219
DPYD TKT 243
DPYD HSD17B4 392
DPYD TXNRD2 169
DPYD FBP1 243
DPYD FDXR 382
DPYD FBP2 243
DPYD TXNRD1 169
DPYSL2 PPP2CB 153
DPYSL2 PANX1 288
DPYSL2 PDHX 181
DPYSL2 SNRPA 173
DPYSL2 TSG101 449
DPYSL2 XPO7 257
DPYSL2 NRP1 600
DPYSL2 PPFIA4 158
DPYSL2 GLUD1 177
DPYSL2 RPS3 181
DPYSL2 DSC2 181
DPYSL2 MAP1B 387
DPYSL2 NPM1 252
DPYSL2 NGB 270
DPYSL2 NUDT21 181
DPYSL2 NDUFV2 181
DPYSL2 KLC1 655
DPYSL2 RAB27A 512
DPYSL2 FYN 604
DPYSL2 KIF5A 203
DPYSL2 NEDD9 215
DPYSL2 NF1 629
DPYSL2 FGD6 181
DPYSL2 RPS19 181
DPYSL2 G3BP1 270
DPYSL2 RNF123 270
DPYSL2 NEDD4L 181
DPYSL2 DYRK1A 483
DPYSL2 SCN9A 227
DPYSL2 FDXR 220
DPYSL2 DYNC1H1 165
DPYSL2 EVL 381
DPYSL2 MAPT 356
DPYSL2 NUMB 983
DPYSL2 WASF1 256
DPYSL2 UBE2I 488
DPYSL2 VPS45 181
DPYSL2 RSU1 181
DPYSL2 NCAM1 175
DPYSL2 HAX1 238
DPYSL2 EFNA5 215
DPYSL2 GSK3B 184
DPYSL2 KLHDC3 224
DPYSL2 WIPF1 175
DPYSL2 DPYSL3 917
DPYSL2 EHD1 278
DPYSL2 NUFIP1 236
DPYSL2 KATNA1 175
DPYSL2 NEDD4 154
DPYSL2 PREX1 270
DPYSL3 MSH2 243
DPYSL3 PDLIM4 720
DPYSL3 NRP1 600
DPYSL3 GLUD1 177
DPYSL3 PDLIM3 540
DPYSL3 JAM3 720
DPYSL3 GSK3B 219
DPYSL3 HAX1 271
DPYSL3 MAPT 211
DPYSL3 G3BP1 270
DPYSL3 DYNC1H1 165
DPYSL3 FDXR 220
DPYSL3 PDLIM7 540
DPYSL3 DYRK1A 443
DPYSL3 FYN 604
DPYSL3 JUP 243
DPYSL3 PDLIM5 540
DPYSL3 LDB3 540
DPYSL3 RHOA 878
DPYSL3 PDLIM1 540
DPYSL3 NUFIP1 237
DPYSL3 SMTN 549
DPYSL3 NUMB 169
DPYSL3 WASF1 227
DPYSL3 XRCC6 392
DR1 NFYB 251
DR1 KAT2B 841
DR1 NFIL3 591
DR1 TAF10 600
DR1 HNF4A 150
DR1 RBPJ 195
DR1 MAP3K7 786
DR1 RXRA 264
DR1 POLE4 764
DR1 PSMC3 163
DR1 RUVBL2 720
DR1 NFYC 689
DR1 GTF2B 299
DRAM1 SCAMP3 244
DSC2 PKP2 750
DSC2 PKP1 629
DSC2 HRAS 173
DSC2 GMCL1 280
DSC2 PKP3 688
DSC2 UCK1 162
DSC2 JUP 760
DSC2 PERP 600
DSC2 UCK2 162
DST ITGB4 883
DST VCL 160
DST PVALB 156
DST NFKB1 157
DST TNNC1 156
DST MAPRE3 219
DST KRT13 208
DST SNAP23 192
DST VWF 155
DST SMAD7 159
DST EED 181
DST LAMC2 600
DST PXN 175
DST IQGAP2 173
DST RASA1 163
DST MAP1B 299
DST LDB3 152
DST JUP 176
DST EZR 164
DST ITGB1 159
DST PRMT5 271
DST SCGN 156
DST SH3BP5 272
DST NPHS1 160
DST G3BP1 270
DST NAV2 161
DST ITGB3 159
DST RNASEL 179
DST GSK3B 183
DST LIMA1 178
DST EIF2S2 169
DST UBE2I 153
DST ECT2 270
DST RAB40C 168
DST LAMA3 600
DST PIDD1 173
DST SPTA1 221
DST PDLIM1 196
DST TNNC2 158
DST PDLIM5 206
DST MAPRE1 946
DST RASAL2 163
DST THSD4 159
DST RNF123 285
DST PKP3 169
DST PLEC 937
DST WAS 150
DST SYNE1 250
DST ITGA6 600
DST NEGR1 170
DST LAMB3 600
DTNA VCL 364
DTNA STAT3 169
DTNA TJP1 366
DTNA MYO1E 271
DTNA PLEC 349
DTNA PSEN1 271
DTNA WASF1 198
DTNA SNTB1 723
DTNA DTNB 151
DTNA PICK1 239
DTNA KIF5A 179
DTNA NOS1 264
DTNA WASF2 198
DTNB SGCG 272
DTNB GAPDH 272
DTNB TJP1 156
DTNB KIF5B 500
DTNB OLFM1 396
DTNB WASF1 198
DTNB SNTB1 407
DTNB WASF2 198
DTNB PICK1 255
DTNB HRAS 169
DTNB KIF5A 571
DTX2 MATN2 238
DTX2 JAG1 368
DTX2 NOTCH2 361
DTX2 NOTCH3 361
DTX2 TJP1 158
DTX2 RUNX1 270
DTX2 STX12 276
DTX2 NOTCH4 184
DTX2 JAG2 368
DTX2 FBN2 238
DTX2 HPCAL4 270
DTX2 FBN1 238
DTX2 NCS1 416
DTX2 TJP3 151
DTX4 TBK1 776
DTX4 JAG2 368
DTX4 NOTCH2 361
DTX4 MATN2 238
DTX4 HSP90AA1 179
DTX4 TJP3 151
DTX4 NOTCH3 361
DTX4 JAG1 368
DTX4 TJP1 158
DTX4 FBN1 238
DTX4 FBN2 238
DUSP14 MAP2K5 160
DUSP14 MAPK13 243
DUSP14 MAPK12 218
DUSP14 MAPK1 209
DUSP14 MYH9 175
DUSP14 PMM1 195
DUSP14 MYH1 175
DUSP14 MAPK14 209
DUSP14 MYH2 151
DUSP14 MYH4 175
DUSP14 METAP1 157
DUSP14 PRMT5 322
DUSP14 MAPK11 246
DUSP14 MYL4 206
DUSP14 MYH10 175
DUSP14 UCHL5 270
DUSP14 MYL3 206
DUSP14 MYH11 175
DUSP14 KHSRP 154
DUSP14 MYH8 175
DUSP14 MAPK9 285
DUSP14 RPL18 151
DUSP14 MYH3 175
DUSP14 RPL36 151
DUSP2 MAP2K5 190
DUSP2 MAPK13 291
DUSP2 MAPK12 319
DUSP2 MAPK1 581
DUSP2 MAPK14 351
DUSP2 DUSP4 183
DUSP2 RPL3L 183
DUSP2 STAT1 270
DUSP2 RPL9 196
DUSP2 MAPK10 189
DUSP2 MAPK9 373
DUSP2 RPL18 183
DUSP2 RPL36 183
DUSP2 POLE 292
DUSP2 RPL22 175
DUSP2 RPL39L 183
DUSP2 RPL6 183
DUSP2 MAPK8 226
DUSP2 MAPK11 322
DUSP2 METAP1 157
DUSP2 ZFP36 270
DUSP3 MAP2K5 190
DUSP3 MAPK13 291
DUSP3 MAPK12 291
DUSP3 MAPK1 617
DUSP3 RPL18 183
DUSP3 RPL36 183
DUSP3 RPL3L 183
DUSP3 EED 181
DUSP3 RPL9 196
DUSP3 EGFR 450
DUSP3 EPHB2 152
DUSP3 MAPK11 291
DUSP3 MAPK14 291
DUSP3 METAP1 157
DUSP3 RPL22 175
DUSP3 RPL39L 183
DUSP3 RPL6 183
DUSP3 PTEN 190
DUSP4 MAP2K5 190
DUSP4 MAPK13 291
DUSP4 MAPK12 291
DUSP4 SF3A1 313
DUSP4 MAPK1 617
DUSP4 MAPK14 617
DUSP4 METAP1 157
DUSP4 MAPK11 291
DUSP4 JAG2 214
DUSP4 RPL39L 183
DUSP4 RPL22 175
DUSP4 MAPK8 524
DUSP4 RPL6 183
DUSP4 RPL36 183
DUSP4 RPL18 183
DUSP4 MAPK9 614
DUSP4 RPL3L 183
DUSP4 RPL9 196
DUSP4 STAT1 155
DUSP4 LYN 158
DYNC1H1 RANBP9 271
DYNC1H1 SF3A1 171
DYNC1H1 USP11 270
DYNC1H1 PLOD3 271
DYNC1H1 TUBG1 161
DYNC1H1 GRWD1 270
DYNC1H1 FUS 271
DYNC1H1 SNRPA1 230
DYNC1H1 TUBB2B 872
DYNC1H1 KIF23 305
DYNC1H1 NDC80 710
DYNC1H1 USP14 270
DYNC1H1 EED 181
DYNC1H1 STRN 372
DYNC1H1 NRP1 181
DYNC1H1 GALNT1 600
DYNC1H1 MYO1E 176
DYNC1H1 MAP1B 900
DYNC1H1 KIF5B 405
DYNC1H1 PRMT5 272
DYNC1H1 IFT88 600
DYNC1H1 FLNC 615
DYNC1H1 KNTC1 187
DYNC1H1 RNF123 270
DYNC1H1 HDAC6 695
DYNC1H1 HSP90AA1 256
DYNC1H1 SNCA 290
DYNC1H1 TUBB 386
DYNC1H1 MAPT 175
DYNC1H1 MCCC2 271
DYNC1H1 NF2 221
DYNC1H1 EPB41 270
DYNC1H1 EZR 165
DYNC1H1 IMMT 279
DYNC1H1 RASAL2 165
DYNC1H1 MAPRE1 261
DYNC1H1 ILF3 157
DYNC1H1 KIF5C 405
DYNC1H1 MYH10 163
DYNC1H1 SKI 270
DYNC1H1 TPM2 271
DYNC1H1 HSPA1A 284
DYNC1H1 KIF5A 405
DYNC1H1 STRBP 157
DYNC1H1 PRKCD 299
DYNC1H1 PAFAH1B1 995
DYNC1H1 SUN2 171
DYNC1H1 NF1 451
DYNC1H1 GRB2 183
DYNC1H1 HSPA2 213
DYNC1H1 SRPK1 179
DYNC1H1 NUMA1 270
DYNC1H1 ILF2 606
DYNC1H1 KATNB1 557
DYNC1H1 MSN 165
DYNC1H1 PEX14 270
DYNC1H1 NTF3 299
DYNC1H1 HSPA1L 213
DYNC1H1 XRCC5 271
DYNC1H1 ECT2 270
DYNC1H1 RPA2 271
DYNC1H1 TUBB2A 386
DYNC1H1 LONP1 271
DYNC1H1 TOP2A 296
DYNC1H1 KATNA1 923
DYNC1H1 KIF3B 159
DYNC1H1 TUBA3C 295
DYNC1H1 RUVBL2 272
DYNC1H1 TRIM58 270
DYNC1H1 FLNA 243
DYRK1A ITGB4 270
DYRK1A SIRT1 341
DYRK1A LGALS1 270
DYRK1A MYBL2 205
DYRK1A MYL12A 270
DYRK1A TSC2 483
DYRK1A TARDBP 270
DYRK1A VASP 270
DYRK1A XPO7 270
DYRK1A NOTCH2 270
DYRK1A KIF23 287
DYRK1A SMAD2 279
DYRK1A PHYH 248
DYRK1A LIG1 270
DYRK1A YWHAE 544
DYRK1A STAT3 239
DYRK1A FBXW11 169
DYRK1A LEF1 165
DYRK1A PRKAR2A 412
DYRK1A EIF4H 153
DYRK1A RB1 506
DYRK1A MYL9 270
DYRK1A HSPB8 270
DYRK1A TCF7L1 165
DYRK1A UBE2L6 200
DYRK1A MYO1E 270
DYRK1A MAP1B 273
DYRK1A NPM1 270
DYRK1A TSC1 491
DYRK1A TPX2 270
DYRK1A RRM1 270
DYRK1A KMT2D 282
DYRK1A FNTA 545
DYRK1A IRS1 270
DYRK1A YWHAG 301
DYRK1A HNRNPD 157
DYRK1A GYS1 311
DYRK1A PRMT5 319
DYRK1A GSK3B 238
DYRK1A SRSF7 399
DYRK1A FLNC 299
DYRK1A SNCA 469
DYRK1A HUWE1 334
DYRK1A MAPT 480
DYRK1A PPM1G 282
DYRK1A FERMT2 270
DYRK1A MAP2K3 295
DYRK1A TPM4 270
DYRK1A VAPA 270
DYRK1A LYAR 270
DYRK1A FN1 374
DYRK1A SYNJ2 169
DYRK1A ERCC5 270
DYRK1A PDLIM7 298
DYRK1A PPP4R2 270
DYRK1A SPTBN1 299
DYRK1A NF1 270
DYRK1A TPM1 483
DYRK1A RRM2 270
DYRK1A OPA1 290
DYRK1A TGM2 483
DYRK1A PEA15 206
DYRK1A TCF7L2 165
DYRK1A NGF 203
DYRK1A TTK 270
DYRK1A GBF1 296
DYRK1A YWHAB 808
DYRK1A RBL1 345
DYRK1A SRPK1 270
DYRK1A IRS2 152
DYRK1A TCOF1 270
DYRK1A TPM2 270
DYRK1A SHROOM1 270
DYRK1A E2F4 209
DYRK1A FOXO1 154
DYRK1A SH3GL2 591
DYRK1A PFKP 270
DYRK1A RCAN1 567
DYRK1A LATS2 362
DYRK1A SQSTM1 301
DYRK1A PICALM 283
DYRK1A G6PD 270
DYRK1A MYH11 270
DYRK1A EIF4G1 314
DYRK1A EIF4G3 314
DYRK1A SYNJ1 339
DYRK1A NUP153 270
DYRK1A TIMELESS 270
DYRK1A LATS1 163
DYRK1A MYO9B 173
DYRK1A MAP3K1 439
DYRK1A ZFP36 196
DYRK1A HIPK2 161
DYRK1A TRA2B 153
DYRK1A HRAS 212
DYRK1A SNAP91 252
DYRK1A LPIN1 270
DYRK1A PALLD 270
DYRK1A NCOR2 311
DYRK1A SIPA1L1 527
DYRK1A RNF4 270
DYRK1A RACGAP1 270
DYRK1A EGLN2 272
DYRK1A HNRNPC 153
DYRK1A POLR2F 158
DYRK1A PARN 270
DYRK1A FHL2 309
DYRK1A PDLIM5 502
E2F2 MYBL2 199
E2F2 SPI1 906
E2F2 ORC2 152
E2F2 ELF1 900
E2F2 TOPBP1 155
E2F2 E2F3 902
E2F2 KAT2B 256
E2F2 RB1 990
E2F2 SKP2 151
E2F2 KMT2D 270
E2F2 HDAC3 905
E2F2 SP1 607
E2F2 SUV39H1 900
E2F2 MYB 199
E2F2 GRB2 169
E2F2 FHL2 192
E2F2 RBBP7 206
E2F2 RBL1 750
E2F2 UCHL5 270
E2F2 MYBL1 199
E2F2 E2F5 309
E2F2 HDAC1 905
E2F2 TFDP1 978
E2F3 RBX1 268
E2F3 MYBL2 568
E2F3 SPI1 900
E2F3 MSH2 431
E2F3 ORC2 152
E2F3 ELF1 900
E2F3 TOPBP1 155
E2F3 FHL2 192
E2F3 RBBP7 206
E2F3 RBL1 967
E2F3 SUV39H1 900
E2F3 SKP2 151
E2F3 E2F4 303
E2F3 MYB 199
E2F3 MGMT 237
E2F3 POLR2A 273
E2F3 SRC 257
E2F3 RB1 995
E2F3 HDAC3 905
E2F3 TFDP1 967
E2F3 PRKDC 182
E2F3 KMT2D 270
E2F3 HDAC1 944
E2F3 SP1 647
E2F3 MYBL1 199
E2F3 TCF7L2 181
E2F3 UCHL5 270
E2F3 HELLS 526
E2F3 RPS3 168
E2F3 E2F5 273
E2F3 KAT2B 256
E2F3 EWSR1 443
E2F3 SFMBT1 162
E2F4 MYBL2 805
E2F4 HDAC5 905
E2F4 ORC2 165
E2F4 TOPBP1 201
E2F4 SMAD2 783
E2F4 HIRA 273
E2F4 KAT2B 299
E2F4 FBXW11 154
E2F4 RB1 994
E2F4 PML 270
E2F4 TP53 674
E2F4 SKP2 161
E2F4 EGFR 164
E2F4 KCNIP3 270
E2F4 HDAC3 309
E2F4 HNF4A 276
E2F4 EZH2 455
E2F4 SMAD3 991
E2F4 MYB 213
E2F4 TEAD4 154
E2F4 HDAC1 987
E2F4 RBL1 998
E2F4 TFDP1 998
E2F4 E2F5 943
E2F4 XPO1 301
E2F4 NCOR2 923
E2F4 MYBL1 213
E2F4 RAB3GAP1 181
E2F4 ESR1 278
E2F4 L3MBTL4 157
E2F4 IKBKB 287
E2F4 HDAC2 911
E2F4 RAD51 202
E2F4 NOLC1 277
E2F4 FHL2 192
E2F4 RBBP7 215
E2F5 MYBL2 213
E2F5 ORC2 165
E2F5 TOPBP1 201
E2F5 SMAD2 600
E2F5 KAT2B 299
E2F5 FBXW11 154
E2F5 RB1 761
E2F5 SKP2 161
E2F5 KMT2D 270
E2F5 SMAD3 900
E2F5 MYB 213
E2F5 TEAD4 154
E2F5 HDAC1 851
E2F5 RBL1 999
E2F5 TFDP1 995
E2F5 RBBP7 242
E2F5 L3MBTL4 157
E2F5 RAB3GAP1 154
E2F5 MYBL1 213
EBI3 TYK2 900
EBI3 JAK1 900
EBI3 IL6ST 900
EBI3 JAK2 900
EBI3 HLA-G 416
EBI3 IL27RA 940
EBI3 STAT4 600
EBI3 STAT3 600
EBI3 STAT1 600
EBP NCSTN 167
EBP RNF4 270
ECH1 TOMM22 268
ECH1 GALC 177
ECH1 OPA1 271
ECH1 HUWE1 270
ECH1 FHL2 284
ECH1 PTGR1 154
ECH1 PABPC4 272
ECH1 SLC25A12 177
ECH1 TRAF1 483
ECH1 MLLT11 177
ECH1 EHHADH 204
ECH1 HADHA 345
ECH1 XPOT 177
ECH1 HDAC5 270
ECH1 HACL1 340
ECH1 KRT17 177
ECH1 PEX13 600
ECH1 HSDL2 328
ECH1 HK1 416
ECH1 ETFA 335
ECH1 SPTBN1 177
ECH1 HADH 356
ECH1 HADHB 347
ECH1 JUP 177
ECH1 SCP2 185
ECH1 FTL 177
ECH1 SUCLG2 265
ECH1 ILVBL 267
ECH1 ECI1 338
ECH1 SNX9 177
ECH1 VDAC2 177
ECH1 ECI2 502
ECH1 PEX7 406
ECH1 GSTO1 272
ECH1 MAP1B 177
ECH1 MCCC2 479
ECH1 GPAM 248
ECH1 UNC13B 177
ECH1 PEX14 723
ECH1 PEX5 809
ECI1 PEX11G 205
ECI1 GCDH 290
ECI1 MRPL34 213
ECI1 GMPR 199
ECI1 PEBP1 248
ECI1 HSD17B14 177
ECI1 ILVBL 183
ECI1 MRPL3 261
ECI1 LEF1 191
ECI1 RPL3L 261
ECI1 RPS3 161
ECI1 TCF7L1 191
ECI1 GMCL1 224
ECI1 PEX11A 205
ECI1 PYCR1 173
ECI1 PIDD1 181
ECI1 PEX14 173
ECI1 MSRB1 213
ECI1 PDK2 270
ECI1 RPS14 293
ECI1 SUCLG2 177
ECI1 HADH 514
ECI1 HADHB 369
ECI1 PPT1 220
ECI1 FXN 244
ECI1 HACL1 183
ECI1 HADHA 330
ECI1 PDK1 270
ECI1 HSDL2 338
ECI1 PTGR1 156
ECI1 MX2 171
ECI1 RABEPK 156
ECI1 HSD17B4 218
ECI1 RPL9 252
ECI1 PEX7 276
ECI1 PEX5 191
ECI1 SOD2 399
ECI1 SCP2 345
ECI1 TCF7L2 191
ECI1 FH 151
ECI1 TALDO1 153
ECI1 ECI2 268
ECI1 RPS9 258
ECI1 PEX11B 205
ECI1 PDK3 270
ECI1 ETFA 309
ECI1 HIBCH 272
ECI1 MRPS12 242
ECI2 GABARAPL2 194
ECI2 MTHFD1 272
ECI2 PEX11G 277
ECI2 GCDH 286
ECI2 EHHADH 278
ECI2 ZC3H14 171
ECI2 MRPL34 213
ECI2 KIF23 270
ECI2 RMDN3 223
ECI2 GALC 177
ECI2 PEBP1 407
ECI2 HSD17B14 368
ECI2 ILVBL 325
ECI2 MRPL3 261
ECI2 IDE 256
ECI2 GABARAPL1 194
ECI2 RPL3L 261
ECI2 RPS3 161
ECI2 SEC24D 210
ECI2 QDPR 179
ECI2 GRID2 212
ECI2 UBE2L6 177
ECI2 PEX13 620
ECI2 PPIB 150
ECI2 PEX11A 277
ECI2 RPS9 258
ECI2 MSRA 237
ECI2 PEX7 503
ECI2 HACL1 325
ECI2 HADHB 359
ECI2 LIPA 150
ECI2 PIDD1 200
ECI2 TAP1 161
ECI2 PEX14 745
ECI2 HSD17B11 179
ECI2 MSRB1 213
ECI2 FH 151
ECI2 UAP1 214
ECI2 PEX11B 277
ECI2 GSTO1 173
ECI2 SCD 215
ECI2 PDLIM1 177
ECI2 SCP2 745
ECI2 RABEPK 151
ECI2 TRAF1 469
ECI2 FXN 244
ECI2 RPS14 293
ECI2 NDRG2 169
ECI2 PDK2 301
ECI2 PPIA 150
ECI2 PPT1 220
ECI2 HADH 264
ECI2 PTGR1 262
ECI2 HSD17B4 436
ECI2 EPHX1 150
ECI2 HADHA 268
ECI2 PTGES3 196
ECI2 SOD3 212
ECI2 HSDL2 732
ECI2 PDK1 355
ECI2 SOD2 347
ECI2 EPHX2 150
ECI2 RPL9 252
ECI2 PEX5 846
ECI2 FKBP1B 189
ECI2 UBE2L3 177
ECI2 SNX9 177
ECI2 MRPS12 242
ECI2 PDK3 301
ECM2 SF3A1 181
ECM2 MYBL2 163
ECM2 PPP2CB 164
ECM2 SNRPA 183
ECM2 LSM7 169
ECM2 PTPRE 177
ECM2 MRPL3 165
ECM2 NRXN2 177
ECM2 RPL3L 165
ECM2 SNRPG 214
ECM2 PPP4C 164
ECM2 SF3B3 213
ECM2 EEF2 167
ECM2 PRPF3 161
ECM2 NAA38 152
ECM2 MYB 163
ECM2 FXN 167
ECM2 PPT1 156
ECM2 MYBL1 163
ECM2 PTPRC 177
ECM2 PTPRD 177
ECM2 LSM4 167
ECM2 LY86 200
ECM2 SF3A3 201
ECM2 MSRB1 151
ECM2 LSM2 152
ECM2 NRCAM 171
ECM2 PTPRM 177
ECM2 NTNG1 197
ECSIT NDUFB7 600
ECSIT NFKBIA 201
ECSIT NFKB1 397
ECSIT NDUFS7 697
ECSIT NDUFB5 846
ECSIT TRAF4 254
ECSIT NNT 229
ECSIT NDUFA9 600
ECSIT RELA 270
ECSIT NDUFA1 600
ECSIT MCCC2 710
ECSIT TRAT1 271
ECSIT NDUFB6 600
ECSIT SMURF1 453
ECSIT NDUFA8 833
ECSIT MAP3K7 449
ECSIT NDUFA5 600
ECSIT MAP3K1 181
ECSIT LLGL2 218
ECSIT NDUFS8 869
ECSIT SQSTM1 270
ECSIT NDUFA3 836
ECSIT TRAF1 172
ECSIT NDUFS2 912
ECSIT NDUFAB1 600
ECSIT SLC25A5 181
ECSIT ITGB1 710
ECSIT LPAR1 239
ECT2 YBX2 270
ECT2 PKP2 270
ECT2 PLOD1 270
ECT2 SIRT1 270
ECT2 LGALS1 270
ECT2 MYH9 270
ECT2 FBL 270
ECT2 PDAP1 270
ECT2 GNB4 270
ECT2 RRP9 270
ECT2 LYPD3 270
ECT2 RAC2 171
ECT2 MTX2 270
ECT2 FUS 270
ECT2 RRP8 270
ECT2 KIF23 979
ECT2 LRPPRC 270
ECT2 UTP20 270
ECT2 GNAO1 270
ECT2 P4HA1 270
ECT2 ICAM1 223
ECT2 VDAC1 270
ECT2 RPL3L 270
ECT2 FAM120A 270
ECT2 SSRP1 270
ECT2 RPS3 270
ECT2 MYL9 270
ECT2 TJP1 270
ECT2 MYO1E 270
ECT2 PIK3CB 270
ECT2 EIF4A1 270
ECT2 RPN1 270
ECT2 F2RL2 213
ECT2 TNFRSF21 270
ECT2 NPM1 419
ECT2 METTL3 270
ECT2 HSP90B1 270
ECT2 PPIB 270
ECT2 PLK1 610
ECT2 RPS9 270
ECT2 MTCH2 270
ECT2 FASN 270
ECT2 GNB2 270
ECT2 SF3B3 270
ECT2 PSMD1 270
ECT2 RBM14 270
ECT2 GNAI2 270
ECT2 PABPC1 270
ECT2 HNRNPD 270
ECT2 PRKDC 270
ECT2 PKM 270
ECT2 GEMIN4 270
ECT2 HACL1 270
ECT2 PLEC 270
ECT2 FLII 270
ECT2 NCAPD2 270
ECT2 HADHB 270
ECT2 WDR33 270
ECT2 SRSF7 270
ECT2 FLNC 270
ECT2 RNF123 270
ECT2 NOC4L 270
ECT2 PKP3 270
ECT2 SHMT2 270
ECT2 HSP90AA1 270
ECT2 GNAI1 270
ECT2 PARD6G 395
ECT2 TPM4 270
ECT2 SAMM50 270
ECT2 LYAR 270
ECT2 RPL22 270
ECT2 FYN 295
ECT2 SVIL 270
ECT2 RAC1 151
ECT2 SPTBN1 270
ECT2 NEGR1 270
ECT2 TPM1 270
ECT2 XRCC6 270
ECT2 MYH10 270
ECT2 TOP1 270
ECT2 ILF2 270
ECT2 RASAL2 388
ECT2 LMNA 270
ECT2 TPM3 270
ECT2 OAT 270
ECT2 EIF3A 270
ECT2 PHGDH 296
ECT2 FLNA 270
ECT2 GNAI3 270
ECT2 GNG12 270
ECT2 PTPN1 270
ECT2 VDAC2 296
ECT2 PABPC4 270
ECT2 GSN 270
ECT2 SRPK1 270
ECT2 HNRNPR 270
ECT2 TCOF1 270
ECT2 SLC3A2 270
ECT2 TPM2 270
ECT2 PRDX4 270
ECT2 NEDD9 279
ECT2 KIFC3 270
ECT2 IPO7 270
ECT2 RFC3 270
ECT2 RPS6 270
ECT2 PTCD2 270
ECT2 HADHA 270
ECT2 NOP56 270
ECT2 ITPR2 270
ECT2 NOP2 270
ECT2 SQSTM1 270
ECT2 XRCC5 270
ECT2 RFC4 270
ECT2 IMMT 296
ECT2 PICALM 270
ECT2 SYNPO 270
ECT2 RFC5 296
ECT2 NAP1L1 270
ECT2 RNPS1 270
ECT2 GSTK1 270
ECT2 JUP 270
ECT2 MVP 270
ECT2 TNRC6B 270
ECT2 WDR43 270
ECT2 SPTBN2 270
ECT2 RPL18 270
ECT2 ILF3 270
ECT2 HERC3 230
ECT2 LSM4 270
ECT2 RPL36 270
ECT2 NOLC1 270
ECT2 MYH11 270
ECT2 HSD17B4 270
ECT2 POR 270
ECT2 TRA2B 270
ECT2 NUMA1 270
ECT2 FLNB 270
ECT2 LIMA1 270
ECT2 ETFA 270
ECT2 STAG3 270
ECT2 MAP7 270
ECT2 RPS19 270
ECT2 WDR1 270
ECT2 PAPSS2 270
ECT2 RPS14 270
ECT2 SPTB 270
ECT2 INCENP 270
ECT2 RHOA 659
ECT2 G3BP1 270
ECT2 RPS10 270
ECT2 KHSRP 270
ECT2 RPL9 270
ECT2 MARK3 270
ECT2 RRP12 270
ECT2 MYL12B 270
ECT2 RACGAP1 998
ECT2 FARP1 270
ECT2 RPL6 270
ECT2 HNRNPC 270
ECT2 RSL1D1 270
ECT2 LUC7L3 270
ECT2 TOP2A 270
EDAR RNF123 270
EDC4 EIF2AK2 156
EDC4 ZFP36 270
EDC4 LSM2 268
EDC4 ILF2 243
EDC4 PSMD13 206
EDC4 NMT1 243
EDC4 G3BP1 426
EDC4 LSM4 270
EDC4 RFC4 243
EDC4 NUDT19 235
EDC4 PDE4DIP 154
EDC4 KHSRP 286
